Start Time,End Time,Subtitle
00:02:38:22,00:02:40:04,English! I'm English!
00:05:40:01,00:05:41:19,"It's grenadiers, mate."
00:05:55:15,00:05:56:23,Make way!
00:06:00:19,00:06:02:09,Out of the way!
00:06:02:14,00:06:04:01,"Go, go, go!"
00:06:04:11,00:06:06:08,Along the mole. All the way.
00:06:06:14,00:06:08:08,The ship's about to leave.
00:06:09:09,00:06:11:13,Along the mole. All the way. The ship's about to leave.
00:07:45:15,00:07:47:15,Where's the bloody air force?
00:08:35:00,00:08:37:08,The navy's requisitioned her.
00:08:37:12,00:08:40:11,They'll be back in an hour. My dad wants to be ready before then.
00:08:42:13,00:08:45:04,They've told us to strip her and load those life jackets.
00:08:45:10,00:08:48:05,"Some men across the Channel, at Dunkirk, need taking off."
00:08:48:14,00:08:49:15,Some men?
00:09:09:19,00:09:11:21,"Check fuel, Fortis 1 and 2."
00:09:16:03,00:09:17:04,70 gallons.
00:09:19:12,00:09:21:09,"68 gallons, Fortis Leader."
00:09:22:06,00:09:24:18,Stay down at 500 feet to leave fuel
00:09:24:20,00:09:27:12,for 40-minute fighting time over Dunkirk.
00:09:28:05,00:09:31:03,"Understood. Vector 128, angels point five."
00:09:32:01,00:09:34:11,"And keep an eye on that gauge, even when it gets lively."
00:09:34:15,00:09:36:13,Save enough to get back.
00:10:45:04,00:10:49:01,No French soldiers. No French soldiers. No.
00:10:49:05,00:10:52:14,"No, no French. English only. English only past this point."
00:10:52:18,00:10:55:04,"No. It's a British ship. No, you have your own ships."
00:10:55:08,00:10:56:22,Get back. Get back.
00:10:57:02,00:10:59:05,"No, you've got your own ships. This is a British ship."
00:10:59:09,00:11:00:17,"No, get back."
00:11:00:21,00:11:02:21,"Look, get the stretchers through. There are stretchers coming."
00:11:02:22,00:11:04:22,Get out of the way! Out of the way!
00:11:05:02,00:11:08:01,"Go, go, go. Along the mole. All the way."
00:11:08:05,00:11:10:15,The ship's about to leave. About to leave.
00:11:10:19,00:11:11:22,Along the mole. All the way.
00:11:12:00,00:11:14:06,Along the mole. Along the mole. All the way. All the way.
00:11:14:12,00:11:15:12,No.
00:11:15:16,00:11:18:09,"No, English only. English only!"
00:11:21:10,00:11:22:10,No!
00:11:37:20,00:11:39:05,Ready on the stern!
00:11:39:09,00:11:40:09,"Yes, sir!"
00:11:51:16,00:11:53:03,Man the bowline!
00:11:53:07,00:11:54:17,Any more room?
00:12:02:06,00:12:03:22,You have to get back!
00:12:11:19,00:12:13:07,That's two minutes.
00:12:13:11,00:12:15:10,You've missed it. You've missed it.
00:12:43:16,00:12:44:16,Is that the last one?
00:12:45:04,00:12:46:06,"Aye, sir."
00:12:49:04,00:12:50:06,Break the line.
00:12:54:01,00:12:55:10,Come on! Come on!
00:13:51:19,00:13:54:08,Dunkirk's so far. Why can't they just load at Calais?
00:13:54:12,00:13:57:00,The enemy had something to say about it.
00:13:58:22,00:14:01:17,"Ah, down here we're sitting ducks."
00:14:01:22,00:14:04:13,Keep 'em peeled. They'll come out of the sun.
00:14:17:09,00:14:18:09,Up the line.
