Start Time,End Time,Subtitle
00:00:55:16,00:00:57:11,[CHILDREN LAUGHING]
00:01:12:02,00:01:13:05,[PHILLIPA SCREAMS]
00:01:25:04,00:01:26:12,[SPEAKING IN JAPANESE]
00:01:33:11,00:01:36:11,ATTENDANT [IN JAPANESE]:
00:02:09:19,00:02:12:13,Are you here to kill me?
00:02:20:05,00:02:22:17,I know what this is.
00:02:23:18,00:02:28:23,"I've seen one before. Many, many years ago."
00:02:30:14,00:02:34:11,It belonged to a man I met in a half-remembered dream.
00:02:37:11,00:02:42:14,A man possessed of some radical notions.
00:02:46:10,00:02:49:07,COBB: What is the most resilient parasite?
00:02:49:14,00:02:52:22,A bacteria? A virus?
00:02:53:12,00:02:54:18,An intestinal worm?
00:02:55:02,00:02:56:08,ARTHUR: Uh...
00:02:56:12,00:02:58:03,What Mr. Cobb is trying to say...
00:02:58:07,00:02:59:12,An idea.
00:03:00:19,00:03:03:07,Resilient. Highly contagious.
00:03:03:11,00:03:06:11,"Once an idea has taken hold of the brain, it's almost impossible to eradicate."
00:03:08:14,00:03:12:05,"An idea that is fully formed, fully understood, that sticks."
00:03:12:09,00:03:13:15,Right in there somewhere.
00:03:13:19,00:03:15:08,For someone like you to steal?
00:03:15:12,00:03:18:11,"Yes. In the dream state, your conscious defenses are lowered..."
00:03:18:15,00:03:21:01,...and that makes your thoughts vulnerable to theft.
00:03:21:05,00:03:22:11,It's called extraction.
00:03:22:15,00:03:26:04,"Mr. Saito, we can train your subconscious to defend itself..."
00:03:26:08,00:03:28:20,...from even the most skilled extractor.
00:03:29:00,00:03:30:04,How can you do that?
00:03:30:08,00:03:33:04,Because I am the most skilled extractor.
00:03:33:15,00:03:37:01,I know how to search your mind and find your secrets. I know the tricks.
00:03:37:05,00:03:40:03,"And I can teach them to you, so that even when you're asleep..."
00:03:40:07,00:03:42:15,...your defense is never down.
00:03:43:13,00:03:47:11,"Look, if you want my help, you're gonna have to be completely open with me."
00:03:47:15,00:03:50:23,I need to know my way around your thoughts better than your wife...
00:03:51:04,00:03:53:12,"...better than your therapist, better than anyone."
00:03:53:22,00:03:56:14,"If this is a dream, and you have a safe full of secrets..."
00:03:56:18,00:03:59:02,...I need to know what's in that safe.
00:03:59:06,00:04:02:17,"In order for this all to work, you need to completely let me in."
00:04:05:14,00:04:10:05,"Enjoy your evening, gentlemen, as I consider your proposal."
00:04:12:16,00:04:13:17,He knows.
00:04:13:21,00:04:15:12,[RUMBLING]
00:04:16:18,00:04:18:05,What's going on up there?
00:04:26:03,00:04:27:10,[MEN SHOUTING]
00:04:27:19,00:04:29:09,[MACHINE HISSING]
00:04:39:19,00:04:41:07,[EXPLOSION]
00:05:05:15,00:05:06:21,[RUMBLING]
00:05:12:11,00:05:15:02,Saito knows. He's playing with us.
00:05:15:12,00:05:17:20,Doesn't matter. I can get it here. Trust me.
00:05:17:24,00:05:19:12,The information is in the safe.
00:05:19:16,00:05:21:20,He looked right at it when I mentioned secrets.
00:05:23:05,00:05:24:06,What's she doing here?
00:05:27:04,00:05:30:01,Just head back to the room. All right? I'll take care of this.
00:05:30:05,00:05:32:06,"Okay, make sure you do. We're here to work."
00:05:40:16,00:05:45:08,"If I jumped, would I survive?"
00:05:47:17,00:05:50:02,"With a clean dive, perhaps."
00:05:50:06,00:05:51:22,"Mal, what are you doing here?"
00:05:52:02,00:05:54:07,I thought you might be missing me.
00:05:54:14,00:05:55:18,COBB: You know that I am.
00:05:57:08,00:05:59:19,But I can't trust you anymore.
00:06:00:13,00:06:01:22,So what?
00:06:03:11,00:06:05:16,MAL: Looks like Arthur's taste.
00:06:05:20,00:06:09:11,"Actually, the subject is partial to postwar British painters."
00:06:11:04,00:06:12:21,"Please, have a seat."
00:06:20:15,00:06:22:01,MAL: Tell me...
00:06:22:11,00:06:24:00,...do the children miss me?
00:06:28:08,00:06:30:01,You can't imagine.
00:06:34:05,00:06:35:07,What are you doing?
00:06:35:11,00:06:37:00,Just getting some fresh air.
00:06:37:11,00:06:39:05,"Stay where you are, Mal."
00:06:48:08,00:06:49:18,[GRUNTS]
00:06:52:22,00:06:54:18,Goddamn it.
00:07:04:00,00:07:05:05,[SOFT SCREECHING]
00:07:13:12,00:07:14:12,[SILENCED GUNSHOT]
00:07:14:16,00:07:15:22,[GUARD GRUNTS]
00:07:24:17,00:07:26:08,[SILENCED GUNSHOT THEN GUARD GRUNTS]
00:07:56:14,00:07:58:04,SAITO: Turn around.
00:07:58:08,00:07:59:09,"The gun, Dom."
00:08:08:16,00:08:09:19,Please.
00:08:21:22,00:08:24:06,"Now the envelope, Mr. Cobb."
00:08:24:16,00:08:28:02,Did she tell you? Or have you known all along?
00:08:28:12,00:08:33:11,"That you're here to steal from me, or that we are actually asleep?"
00:08:37:14,00:08:39:23,I want to know the name of your employer.
00:08:41:23,00:08:45:21,"Ah, there's no use threatening him in a dream, right, Mal?"
00:08:46:01,00:08:48:12,That depends on what you're threatening.
00:08:49:10,00:08:51:14,Killing him would just wake him up.
00:08:52:08,00:08:53:12,But pain...
00:08:55:04,00:08:56:15,[SCREAMS]
00:08:57:11,00:08:59:08,Pain is in the mind.
00:09:00:01,00:09:04:06,"And judging by the decor, we're in your mind, aren't we, Arthur?"
00:09:07:17,00:09:08:19,[GRUNTS]
00:09:15:15,00:09:18:18,- What are you doing? It's too soon. - But the dream's collapsing.
00:09:18:22,00:09:22:08,I'm gonna try to keep Saito under a little bit longer. We're almost there.
00:09:22:18,00:09:23:20,[SILENCED GUNFIRE]
00:09:36:14,00:09:40:13,He was close. Very close.
00:09:43:04,00:09:44:09,[SCREAMS]
00:09:53:16,00:09:54:16,[YELLS]
00:09:54:20,00:09:56:10,Stop him!
00:10:01:01,00:10:02:19,[GUNFIRE]
00:10:10:13,00:10:11:19,[GRUNTS]
00:10:18:01,00:10:19:12,[HISSING]
00:10:20:19,00:10:22:02,[SAITO GROANS]
00:10:22:06,00:10:24:10,This isn't gonna work. Wake him up.
00:10:37:01,00:10:38:09,[GRUNTS]
00:10:45:05,00:10:47:04,He won't wake.
00:10:51:16,00:10:52:23,#NAME?
00:10:53:12,00:10:54:13,Dunk him.
00:10:54:17,00:10:55:22,[GUN COCKS]
00:11:01:18,00:11:03:07,[WOOD GROANING]
00:11:30:22,00:11:32:12,[SAITO GRUNTING]
00:11:39:02,00:11:40:11,COBB: He's out.
00:11:42:11,00:11:44:08,[SHOUTING IN FOREIGN LANGUAGE]
00:11:45:18,00:11:47:19,"You came prepared, hmm?"
00:11:47:23,00:11:51:19,Not even my head of security knows this apartment. How did you find it?
00:11:52:11,00:11:56:04,It's difficult for a man of your position to keep a love nest like this secret...
00:11:56:08,00:11:58:21,...particularly where there's a married woman involved.
00:11:59:01,00:12:01:00,#NAME?
00:12:02:02,00:12:04:04,- With a dilemma. - They're getting closer.
00:12:04:08,00:12:07:03,"- You got what you came for. COBB: Well, that's not true."
00:12:07:07,00:12:09:23,"You left out a key piece of information, didn't you?"
00:12:10:04,00:12:13:08,You held something back because you knew what we were up to.
00:12:13:12,00:12:16:09,"- Question is, why'd you let us in at all? - An audition."
00:12:17:14,00:12:20:12,- An audition for what? - Doesn't matter. You failed.
00:12:20:16,00:12:23:09,We extracted every bit of information you had in there.
00:12:23:19,00:12:26:02,But your deception was obvious.
00:12:32:08,00:12:33:14,[MACHINE HISSING]
00:12:56:17,00:13:00:14,"[EDITH PIAF'S ""NON, JE NE REGRETTE RIEN"" PLAYING]"
00:13:03:05,00:13:05:05,[SONG ECHOING]
00:13:06:23,00:13:11:09,"- So leave me and go. - You don't seem to understand, Mr. Saito."
00:13:11:13,00:13:15:19,"That corporation that hired us, they won't accept failure."
00:13:15:23,00:13:18:02,We won't last two days.
00:13:20:01,00:13:21:05,Cobb?
00:13:21:09,00:13:24:13,Looks like I'm gonna have to do this a little more simply.
00:13:24:17,00:13:28:11,"Tell us what you know! Tell us what you know, now!"
00:13:29:09,00:13:31:02,[LAUGHING]
00:13:31:20,00:13:34:17,SAITO: I've always hated this carpet.
00:13:35:09,00:13:39:06,It's stained and frayed in such distinctive ways.
00:13:40:18,00:13:44:02,But very definitely made of wool.
00:13:44:22,00:13:46:15,Right now...
00:13:47:16,00:13:50:02,...l'm lying on polyester.
00:13:53:23,00:13:58:19,"Which means I'm not lying on my carpet, in my apartment."
00:13:59:16,00:14:02:22,"You have lived up to your reputation, Mr. Cobb."
00:14:03:09,00:14:05:10,I'm still dreaming.
00:14:07:02,00:14:08:19,[ALARM BEEPING]
00:14:12:02,00:14:13:22,- How'd it go? - Not good.
00:14:19:08,00:14:23:11,"Dream within a dream, huh? I'm impressed."
00:14:24:17,00:14:28:05,"But in my dream, you play by my rules."
00:14:28:09,00:14:30:15,"Ah, yes, but you see, Mr. Saito..."
00:14:30:19,00:14:32:05,We're not in your dream.
00:14:32:09,00:14:33:23,We're in mine.
00:14:34:03,00:14:35:16,[MEN SHOUTING]
00:14:36:19,00:14:38:13,[ALARM BEEPING FASTER]
00:14:41:05,00:14:42:13,[NASH YELLS]
00:14:43:21,00:14:45:23,Asshole. How do you mess up the carpet?
00:14:46:03,00:14:48:11,- It wasn't my fault. - You're the architect.
00:14:48:15,00:14:50:18,I didn't know he was gonna rub his cheek on it!
00:14:50:22,00:14:52:00,That's enough.
00:14:53:03,00:14:54:15,You. What the hell was all that?
00:14:55:03,00:14:58:01,- I have it under control. - I'd hate to see you out of control.
00:14:58:05,00:15:01:24,We don't have time for this. I'm getting off at Kyoto.
00:15:02:04,00:15:03:24,ARTHUR: He's not gonna check every compartment.
00:15:04:04,00:15:05:19,"Yeah, well, I don't like trains."
00:15:05:23,00:15:08:17,Listen. Every man for himself.
00:16:17:09,00:16:19:01,[PHONE RINGS]
00:16:23:02,00:16:24:02,"Yes, hello?"
00:16:24:07,00:16:26:22,"PHILLIPA: Hi, Daddy. JAMES: Hi, Dad."
00:16:27:10,00:16:31:01,"Hey, guys. Hey. How are you? How you doing, huh?"
00:16:31:05,00:16:33:10,"PHILLIPA: Good. JAMES: Okay, I guess."
00:16:33:14,00:16:37:08,"Okay? Who's just okay? Is that you, James?"
00:16:37:12,00:16:41:10,"JAMES: Yeah. When are you coming home, Dad?"
00:16:42:10,00:16:47:01,"Well, I can't, sweetheart. I can't. Not for a while, remember?"
00:16:47:05,00:16:48:13,JAMES: Why?
00:16:48:21,00:16:54:10,"Look, I told you, I'm away because I'm working, right?"
00:16:54:18,00:16:57:14,PHILLIPA: Grandma says you're never coming back.
00:16:58:06,00:17:00:03,"COBB: Phillipa, is that you?"
00:17:01:02,00:17:03:11,"Put Grandma on the phone for me, will you?"
00:17:03:15,00:17:05:08,PHILLIPA: She's shaking her head.
00:17:07:11,00:17:09:23,"Well, just hope she's wrong about that."
00:17:10:20,00:17:12:01,JAMES: Daddy?
00:17:12:18,00:17:13:19,"Yeah, James?"
00:17:13:23,00:17:15:15,JAMES: Is Mommy with you?
00:17:18:06,00:17:20:11,"James, we talked about this."
00:17:21:18,00:17:24:02,Mommy's not here anymore.
00:17:25:03,00:17:26:09,JAMES: Where?
00:17:28:03,00:17:30:18,"WOMAN: That's enough, kids. Say bye-bye."
00:17:30:22,00:17:33:23,"Listen, I'm gonna send some presents with Grandpa, all right?"
00:17:34:03,00:17:35:03,"And you be good, you be..."
00:17:35:07,00:17:36:23,[DIAL TONE]
00:17:42:19,00:17:43:21,[KNOCKING ON DOOR]
00:17:45:16,00:17:47:21,- Our ride's on the roof. - Right.
00:17:55:01,00:17:56:05,"Hey, are you okay?"
00:17:56:23,00:17:58:06,"Yeah. Yeah, I'm fine. Why?"
00:17:58:10,00:18:00:20,"Well, down in the dream, Mal showing up."
00:18:00:24,00:18:04:06,"Look, I'm, uh, sorry about your leg. Won't happen again."
00:18:04:10,00:18:08:00,"- It's getting worse, isn't it? - One apology's all you're getting, all right?"
00:18:08:04,00:18:10:16,- Where's Nash? - He hasn't shown. You wanna wait?
00:18:10:20,00:18:13:07,We were supposed to deliver Saito's expansion plans...
00:18:13:11,00:18:15:05,...to Cobol Engineering two hours ago.
00:18:15:09,00:18:18:15,"By now, they know we failed. It's time we disappear."
00:18:19:04,00:18:21:16,#NAME?
00:18:21:20,00:18:26:02,"I can lie low there, maybe sniff out a job when things quiet down. You?"
00:18:26:06,00:18:27:12,Stateside.
00:18:27:17,00:18:29:05,Send my regards.
00:18:35:13,00:18:39:02,He sold you out. Thought to come to me and bargain for his life.
00:18:41:06,00:18:43:01,So I offer you the satisfaction.
00:18:47:00,00:18:49:13,It's not the way I deal with things.
00:18:52:14,00:18:54:02,[HELICOPTER STARTING]
00:19:01:19,00:19:04:16,#NAME?
00:19:05:01,00:19:07:13,But I can't speak for Cobol Engineering.
00:19:22:02,00:19:25:02,#NAME?
00:19:26:17,00:19:29:02,#NAME?
00:19:29:06,00:19:31:11,If you can steal an idea from someone's mind...
00:19:31:15,00:19:33:12,...why can't you plant one there instead?
00:19:33:16,00:19:35:18,"Okay, here's me planting an idea in your head."
00:19:35:22,00:19:39:06,"I say, ""Don't think about elephants."" What are you thinking about?"
00:19:39:10,00:19:40:10,Elephants.
00:19:40:14,00:19:43:18,"Right. But it's not your idea, because you know I gave it to you."
00:19:43:23,00:19:46:22,The subject's mind can always trace the genesis of the idea.
00:19:47:02,00:19:50:08,- True inspiration's impossible to fake. - That's not true.
00:19:52:21,00:19:55:23,#NAME?
00:19:56:03,00:19:58:19,Because I can find my own way to square things with Cobol.
00:19:58:23,00:20:00:24,Then you do have a choice.
00:20:01:04,00:20:02:23,"Then I choose to leave, sir."
00:20:07:20,00:20:09:13,Tell the crew where you want to go.
00:20:14:19,00:20:15:21,"Hey, Mr. Cobb."
