Start Time,End Time,Subtitle
00:01:14:22,00:01:16:24,"MURPH: Well, my dad was a farmer."
00:01:18:04,00:01:20:15,"Um, like everybody else back then."
00:01:22:18,00:01:24:22,"Of course, he didn't start that way."
00:01:25:12,00:01:27:11,(DISTANT RUMBLING)
00:01:30:00,00:01:31:01,(ALARM BEEPING)
00:01:31:05,00:01:33:03,MAN (OVER RADIO): Computer says you're too tight.
00:01:33:07,00:01:35:20,#NAME?
00:01:38:06,00:01:40:00,"- Shutting it down, Cooper. - No!"
00:01:41:12,00:01:43:22,"- Shutting it all down. - No, I need power up!"
00:01:46:17,00:01:47:23,(COOPER YELLS)
00:01:48:07,00:01:49:08,MURPH: Dad?
00:01:55:21,00:01:58:09,"(PANTING) Sorry, Murph. Go back to bed."
00:01:58:17,00:02:01:05,#NAME?
00:02:02:21,00:02:04:21,"COOPER: There are no such things as ghosts, babe."
00:02:05:01,00:02:07:05,Grandpa says you can get ghosts.
00:02:08:15,00:02:13:09,Maybe that's because Grandpa's close to being one himself. Back to bed.
00:02:13:17,00:02:15:13,Were you dreaming about the crash?
00:02:16:23,00:02:19:06,"Get your butt back in bed, Murph. Heh."
00:02:46:07,00:02:47:19,MURPH: The wheat had died.
00:02:48:15,00:02:50:23,The blight came and we had to burn it.
00:02:51:21,00:02:54:14,And we still had corn. We had acres of corn.
00:02:54:18,00:02:57:00,"But, uh, mostly we had dust."
00:02:59:10,00:03:02:01,WOMAN: I guess I can't describe it. It was just constant.
00:03:02:05,00:03:04:16,Just that steady blow...
00:03:04:20,00:03:06:02,...of dirt.
00:03:08:05,00:03:11:07,"WOMAN #2: We wore, um, little strips of sheet..."
00:03:11:11,00:03:14:04,...sometimes over our nose and mouth...
00:03:14:08,00:03:16:20,...so that we wouldn't breathe so much of it.
00:03:18:13,00:03:21:01,"MAN: When we set the table, we always set the plate..."
00:03:21:05,00:03:24:03,"...upside-down. Glasses or cups, whatever it was..."
00:03:24:07,00:03:25:11,...upside-down.
00:03:30:21,00:03:33:03,"Shake a leg! Murph, get a move on!"
00:03:33:07,00:03:36:18,"Tom, 4:00 today, you and me in the barn, Herbicide Resistance 101."
00:03:36:22,00:03:38:10,#NAME?
00:03:39:23,00:03:41:15,"Not at the table, Murph."
00:03:42:09,00:03:44:05,"Dad, can you fix this?"
00:03:45:19,00:03:47:03,COOPER: What the heck did you do...
00:03:47:07,00:03:48:11,...to my lander? - Wasn't me.
00:03:48:15,00:03:50:13,Let me guess. It was your ghost?
