Start Time,End Time,Subtitle
00:01:00:08,00:01:03:14,I knew Harvey Dent.
00:01:04:08,00:01:05:22,I was his friend.
00:01:08:03,00:01:14:06,And it will be a very long time before someone inspires us the way he did.
00:01:16:12,00:01:18:14,I believed in Harvey Dent.
00:01:37:14,00:01:40:11,"Dr. Pavel, I'm CIA."
00:01:40:14,00:01:41:16,He wasn't alone.
00:01:41:19,00:01:45:21,"- Uh, you don't get to bring friends. - They are not my friends."
00:01:46:01,00:01:48:01,"Don't worry, no charge for them."
00:01:48:07,00:01:51:24,#NAME?
00:01:52:06,00:01:53:20,They work for the mercenary.
00:01:54:09,00:01:55:21,The masked man.
00:01:56:13,00:01:58:22,#NAME?
00:01:59:15,00:02:01:16,Get them on board. I'll call it in.
00:02:10:06,00:02:12:14,The flight plan I just filed with the agency...
00:02:12:18,00:02:16:23,"...lists me, my men, Dr. Pavel here..."
00:02:17:03,00:02:19:09,...but only one of you!
00:02:21:22,00:02:26:16,First one to talk gets to stay on my aircraft!
00:02:33:14,00:02:37:06,Who paid you to grab Dr. Pavel?
00:02:39:18,00:02:41:03,
00:02:42:01,00:02:44:09,He didn't fly so good!
00:02:44:13,00:02:46:13,Who wants to try next?
00:02:47:12,00:02:49:03,Tell me about Bane!
00:02:49:07,00:02:50:19,Why does he wear the mask?
00:02:53:14,00:02:55:23,A lot of loyalty for a hired gun!
00:02:56:03,00:02:59:19,"Well, perhaps he's wondering why someone would shoot a man..."
00:02:59:23,00:03:03:02,...before throwing him out of a plane.
00:03:07:01,00:03:08:19,At least you can talk.
00:03:08:23,00:03:10:02,Who are you?
00:03:10:06,00:03:12:17,It doesn't matter who we are.
00:03:13:04,00:03:15:08,What matters is our plan.
00:03:21:16,00:03:25:02,No one cared who I was till I put on the mask.
00:03:26:16,00:03:28:16,"If I pull that off, will you die?"
00:03:28:20,00:03:31:00,It would be extremely painful.
00:03:31:07,00:03:32:08,You're a big guy.
00:03:32:12,00:03:33:17,For you.
